Spółka,Kwartały,Wartość księgowa,Cena/WK,Zysk na akcję,Cena/Zysk,Przychód,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny,Wartość księgowa Grahama,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBIT,Wartość przedsiębiorstwa/EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zadłużenie długoterminowe,Zadłużenie środków trwałych,Pokrycie aktywów trwałych kapitałami stałymi,Trwałość struktury finansowania,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,Zadłużenie netto,Zadłużenie netto / EBITDA,Zadłużenie finansowe netto,Zadłużenie finansowe netto / EBITDA,I stopień pokrycia,II stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Płynność podwyższona,Pokrycie zobowiązań należnościami,Udział kapitału pracującego w aktywach,Pokrycie kosztów kapitałem obrotowym,Rotacja należności,Cykl należności,Cykl zobowiązań,Rotacja zapasów,Cykl zapasów,Rotacja majątku obrotowego,Rotacja majątku trwałego,Rotacja majątku ogółem,Cykl operacyjny,Cykl konwersji gotówki,Data
KBJ,2025/Q1,"18,97","1,41","2,94","9,12","59,92","0,45","3,49","7,68","15,02","1,78","26,57","0,44","6,06","7,61","15,48%","8,38%","5,83%","4,90%","5,58%","5,49%",,"9,96%","-336,34%",,"0,31","0,57","0,08","1,14","2,79","0,58","0,42","0,87",18 424 000,"2,04",-470 000,"-0,05","2,07","2,22","0,19","1,50","2,74","0,20","1,67","0,47","0,30","4,71",77,53,"8,77",42,"2,65","6,71","1,90",119,66,2025-05-01
KBT,2025/Q1,"0,43","0,92","0,04","9,35","0,40","0,99","0,04","8,97","0,34","1,15","0,38","0,97","3,29","8,78","9,85%","6,86%","11,07%","10,61%","12,32%","10,61%","55,93%","7,15%","831,11%",,"0,09","0,13",,,,,"0,14","0,27",411 000,"0,39",-73 000,"-0,07","1,98","1,98","0,15","-0,83","7,30","0,15","0,72","0,56","3,38","8,03",45,79,"0,59",620,"1,02","1,63","0,63",665,586,2025-05-01
KCH,2025/Q1,"-7,11",,"-1,50",,"4,21","0,27","-0,78",,"0,10","11,47","1,40","0,33","-2,12","-1,80","21,04%","-92,15%","-18,49%","-35,52%","-16,70%","-35,72%","12,57%","-47,98%","-876,51%",,"0,56","-0,13",,,,,"0,90","-10,31",7 556 000,"-1,27",2 562 000,"-0,43","-11,42","-11,42","0,07","-7,77","1,11","0,07","0,77","0,06","0,03","5,53",66,73,"12,68",29,"3,70","5,65","2,23",95,22,2025-05-01
KCI,2025/Q1,"4,81","0,19","-0,20",,"0,03","33,75","-0,35",,"-0,30",,"0,93","33,64","-2,65","-2,65","-4,25%","-3,82%","-1 269,89%","-741,64%","-185,40%","-1 245,82%",,"-6,54%","225,25%","142,34%","0,10","0,11","0,01","0,69","0,95","0,91","2,27","2,13",26 763 000,"-1,12",-208 000,"0,01","0,94","0,95","0,01","0,48","0,48","0,30","0,18","-0,05","-3,28","0,10",3 831,3 484,,,"0,03","0,01","0,01",,,2025-05-01
KDM,2017/Q4,"12,18","0,33","0,42","9,49","10,69","0,37","0,43","9,25","8,48","0,47","-3,21","-0,30","-4,52","-7,47","3,44%","3,00%","4,03%","3,92%","0,41%","3,81%","4,23%","3,07%","-33,12%",,"0,16","0,18","0,01","16,00","3,70","0,88","0,20","0,74",-54 085 477,"-8,18",-66 882 736,"-10,12","3,64","3,70","4,01","5,31","5,35","4,01","1,20","0,62","0,87","4,45",82,68,"155,28",2,"1,00","3,20","0,76",84,16,2018-02-01
KER,2024/Q3,"27,03","0,70","2,41","7,90","55,08","0,35","3,82","4,98","10,65","1,79","21,62","0,39","4,10","5,66","8,91%","5,54%","6,94%","4,37%","10,27%","5,67%","16,28%","8,79%","67,85%","12 630,57%","0,38","0,61","0,27","2,08","2,09","0,79","0,61","1,00",930 929 192,"0,60",762 766 448,"0,49","1,65","2,09","0,79","2,18","2,94","1,44","0,72","0,41","0,40","8,17",45,104,"7,48",49,"1,91","3,39","1,22",94,-10,2024-11-01
KGH,2025/Q1,"156,72","0,80","13,87","9,04","179,74","0,70","24,10","5,21","-53,50",,"152,07","0,85","4,39","6,31","8,85%","5,12%","13,41%","7,72%","11,99%","12,91%","18,28%","8,90%","46,18%","100,26%","0,42","0,73","0,38","2,31","1,03","0,80","1,89","1,41",21 375 000 000,"3,09",5 323 000 000,"0,77","0,74","1,03","0,08","0,34","1,11","0,12","0,16","0,02","0,04","19,80",18,115,"3,57",102,"2,89","0,88","0,67",120,5,2025-05-01
KGL,2025/Q1,"18,06","0,79","-1,09",,"74,42","0,19","0,55","25,82","-9,63",,"32,67","0,44","7,01","59,41","-6,04%","-2,05%","0,74%","-1,47%","0,04%","-1,61%","13,96%","1,03%","-46,41%","121,19%","0,63","1,85","0,47","3,24","0,96","0,50","1,41","0,86",230 671 000,"7,01",130 306 000,"3,96","0,61","0,90","0,03","0,28","0,95","0,03","0,26","-0,02","-0,02","12,99",28,113,"4,55",80,"3,51","2,43","1,44",108,-5,2025-05-01
KGN,2025/Q1,"165,47","0,30","12,88","3,84","172,58","0,29","14,12","3,51","-30,23",,"76,61","0,44","2,63","5,43","7,79%","4,54%","8,18%","7,46%","8,13%","9,26%","12,79%","4,98%","17,24%","96,35%","0,42","0,71","0,23","4,89","1,04","0,72","1,34","1,14",1 725 827 000,"3,97",404 002 000,"0,93","0,85","1,04","0,03","0,94","1,09","0,03","0,91","0,03","0,05","2,11",173,166,"14,40",25,"1,83","0,90","0,60",198,32,2025-05-01
KLN,2025/Q1,"0,17","9,37","-0,18",,"0,93","1,67","-0,17",,"-0,26",,"1,93","2,09","-19,86","-11,53","-109,52%","-22,15%","-18,10%","-19,55%","-9,66%","-20,39%",,"-20,51%","-187,29%","54,43%","0,78","3,88","1,36","1,91","0,92","0,48","1,69","0,64",14 513 000,"-6,36",8 983 000,"-3,94","0,38","0,89","0,05","0,43","0,91","0,05","0,40","-0,04","-0,04","5,46",67,132,"5,29",69,"2,39","2,05","1,10",136,4,2025-05-01
KME,2025/Q1,"-0,61",,"0,27","1,13","0,47","0,64","0,25","1,19","-0,00",,"0,39","0,82","1,51","1,52","-44,02%","27,48%","54,02%","57,00%","44,61%","57,03%",,"26,04%","170,89%",,"0,44","-0,70","-0,49","0,00","1,54","-0,32","1,01","-1,12",298 000,"0,03",3 841 000,"0,33","-1,10","-0,56","2,11","-5,77","3,33","3,32","0,00","0,30","1,14","486,88",1,590,"205,15",2,"1,12","0,87","0,49",3,-587,2025-05-01
KMP,2025/Q1,"16,30","1,47","0,52","46,48","23,10","1,04","0,67","36,05","-1,53",,"25,10","1,09","9,72","37,71","3,17%","2,14%","2,88%","2,24%","1,84%","2,44%","16,95%","2,76%","23,67%","-540,97%","0,32","0,48","0,22","4,59","1,12","0,83","1,24","1,14",31 792 000,"2,63",5 166 000,"0,43","0,91","1,12","0,25","1,16","1,51","0,25","0,85","0,09","0,12","6,38",57,75,"11,01",33,"3,82","1,23","0,93",90,15,2025-05-01
KOM,2024/Q3,"24,85","0,18","-0,99",,"174,98","0,03","-0,05",,"10,37","0,42","4,05","0,02","2,29","-81,21","-3,99%","-2,07%","-0,03%","-0,57%","-0,12%","-0,57%","11,82%","-0,10%","-47,03%","110,10%","0,48","0,93","0,32","0,86","2,28","0,69","0,69","1,19",186 167 000,"10,77",-3 169 000,"-0,18","1,72","2,28","0,22","1,15","2,23","0,27","0,86","0,38","0,12","13,11",28,29,"9,07",40,"5,27","11,99","3,66",68,39,2024-11-01
KOR,2025/Q1,"7,92","1,03","1,03","7,90","8,45","0,96","1,36","5,98","-2,03",,"11,00","1,30","6,06","8,07","13,02%","7,57%","16,12%","12,20%","15,68%","13,93%",,"10,00%","60,92%","54,11%","0,38","0,65","0,45","2,90","1,15","0,84","1,65","1,24",18 778 000,"2,09",14 092 000,"1,57","0,76","1,10","0,85","1,31","1,95","0,85","0,79","0,11","0,23","6,43",57,69,"13,38",27,"2,79","0,82","0,63",84,15,2025-05-01
KPC,2025/Q1,"2,89","0,32","0,50","1,85","5,59","0,17","0,69","1,36","-0,21",,"0,90","0,16","1,25","1,32","17,34%","7,41%","12,25%","8,97%","2,99%","8,77%",,"10,12%","-61,57%",,"0,56","1,32","0,44","0,30","1,33","0,61","1,06","0,97",16 673 000,"5,24",-128 000,"-0,04","0,91","1,31","0,01","0,88","1,41","0,01","0,87","0,16","0,20","4,14",88,169,"4,22",86,"2,07","1,48","0,86",174,5,2025-05-01
KPD,2025/Q1,"63,98","0,44","-25,54",,"201,64","0,14","-22,68",,"6,87","4,08","24,17","0,12","-2,29","-1,07","-39,91%","-22,33%","-11,25%","-12,67%","-10,31%","-11,87%","4,81%","-19,83%","-7 729,85%","-6,24%","0,38","0,68","0,05","17,16","1,16","0,59","0,86","0,86",64 381 000,"-3,76",-6 215 000,"0,36","1,00","1,05","0,10","0,45","1,26","0,10","0,51","0,09","0,06","10,80",34,68,"6,56",56,"3,77","2,90","1,64",90,22,2025-05-01
KPI,2025/Q1,"0,80","3,71","0,10","30,19","1,48","2,00","0,49","6,01","-0,45",,"5,09","3,44","9,83","10,33","12,29%","2,34%","33,30%","6,63%","23,49%","9,05%",,"11,77%","-629,22%","9,29%","0,80","4,20","2,38","0,17","2,12","0,64","1,15","0,72",21 774 000,"4,25",21 087 000,"4,12","0,62","2,11","0,66","1,98","2,00","0,79","1,07","0,35","1,31","1,03",356,351,,,"0,70","1,33","0,46",,,2025-05-01
KPL,2025/Q1,"15,84","1,24","3,38","5,80","15,97","1,23","4,29","4,56","7,05","2,78","18,91","1,18","2,49","4,40","21,35%","15,99%","26,89%","21,17%","26,95%","27,80%",,"20,30%","74,47%","86,20%","0,25","0,34","0,07","0,61","1,93","0,80","0,43","0,77",-23 911 000,"-0,16",-13 743 000,"-0,09","1,80","1,93","0,27","2,84","2,94","1,55","1,28","0,39","0,98","2,88",127,100,"27,01",14,"1,39","1,85","0,79",141,41,2025-05-01
KRI,2024/Q3,"26,93","0,72","-0,00",,"17,31","1,11","4,27","4,52","-16,04",,"49,99","2,89","10,19","11,71","0,00%","0,00%","24,66%","0,00%","6,74%","1,77%",,"6,04%","0,00%","84,18%","0,62","1,63","1,08","0,03","1,30","0,79","1,58","0,99",232 281 000,"3,67",395 768 000,"6,25","0,63","1,30","0,44","1,88","1,88","1,74","0,04","0,18","0,84","25,81",14,242,,,"0,63","0,42","0,25",,,2024-11-01
KRK,2025/Q1,"307,08","2,33","53,21","13,42","252,78","2,82","56,66","12,60","174,78","4,09","656,15","2,60","9,57","11,58","17,33%","13,47%","22,41%","21,05%","22,08%","24,62%","57,48%","14,34%","87,12%",,"0,22","0,28","0,07","5,00","2,43","0,83","0,33","0,75",-228 633 399,"-0,10",-1 897 080 674,"-0,84","2,28","2,43","0,93","2,69","4,04","1,43","1,26","0,50","2,05","3,24",113,87,"1,31",278,"1,03","1,93","0,67",391,304,2025-05-01
KRU,2025/Q1,"246,37","1,53","50,90","7,41","152,69","2,47","71,55","5,27","233,01","1,62","691,53","4,53","9,25","9,66","20,66%","8,47%","46,86%","33,33%","46,86%","32,61%",,"11,91%","-345,81%","2 658,31%","0,59","1,44","1,28","0,02","42,16","0,94","0,60","11,13",-4 432 843 000,"-3,06",6 092 928 000,"4,20","18,46","42,16","0,31","15,45","15,47","15,35","0,10","0,91","7,05","41,32",9,98,"133,34",3,"0,27","12,90","0,27",12,-86,2025-05-01
KSG,2025/Q1,"1,89","1,82","1,19","2,90","6,44","0,53","0,85","4,04","-1,26",,"7,36","1,14","6,08","8,65","63,00%","11,76%","13,22%","18,45%","13,22%","18,45%","20,16%","8,43%","95,64%","93,29%","0,81","4,35","0,44","3,07","0,86","0,27","1,18","0,71",92 434 056,"5,08",58 946 032,"3,24","0,60","0,86","0,01","0,71","0,94","0,28","0,43","-0,04","-0,09","3,31",110,411,"2,13",171,"1,10","1,66","0,66",281,-130,2025-05-01
KTY,2025/Q1,"211,63","3,91","54,34","15,22","538,39","1,54","73,39","11,27","-49,04",,"965,22","1,79","10,06","13,15","25,68%","12,17%","13,63%","10,09%","13,09%","12,16%",,"16,44%","75,90%","105,43%","0,53","1,11","0,57","1,88","1,28","0,75","1,26","1,03",2 234 000 000,"2,38",1 350 000 000,"1,44","0,81","1,28","0,05","0,85","1,64","0,05","0,80","0,16","0,16","6,36",57,87,"5,52",66,"3,03","2,14","1,25",123,36,2025-05-01
KUB,2025/Q1,"4,75","2,55","0,62","19,61","16,47","0,73","0,88","13,78","4,44","2,72","13,59","0,82","14,48","15,47","13,00%","7,69%","5,33%","3,74%","6,09%","4,51%",,"10,94%","-26,19%","-14,06%","0,41","0,69",,,,,"0,42","6,55",4 505 000,"3,23",2 211 000,"1,59","15,42","15,42","0,07","1,10","2,36","0,07","1,01","0,55","0,29","5,53",66,51,"6,69",55,"2,52","61,77","2,42",121,70,2025-05-01
KVT,2025/Q1,"7,75","1,16","1,17","7,70","31,45","0,29","1,49","6,02","-1,76",,"12,31","0,39","4,62","8,26","15,05%","6,47%","4,74%","3,71%","4,68%","4,18%","17,02%","8,28%","38,99%","105,38%","0,52","1,21","0,16","8,21","0,95","0,50","1,23","0,92",114 711 000,"3,51",40 813 000,"1,25","0,74","0,86","0,00","0,38","0,93","0,00","0,47","-0,03","-0,02","7,35",50,102,"7,60",48,"3,91","2,98","1,69",98,-4,2025-05-01
LAB,2025/Q1,"14,32","1,08","1,71","8,99","39,99","0,39","1,45","10,63","-9,36",,"26,62","0,67","6,21","18,38","11,97%","5,18%","3,62%","4,28%","3,92%","5,86%","30,17%","4,38%","26,73%","121,49%","0,54","1,26","0,60","2,48","0,94","0,69","2,08","1,22",58 909 000,"3,60",42 752 000,"2,61","0,59","0,94","0,21","0,65","0,92","0,27","0,35","-0,02","-0,03","11,85",31,92,"10,89",34,"4,53","1,67","1,22",65,-27,2025-05-01
LBD,2025/Q1,"-0,23",,"0,03","31,33","0,07","12,72","0,04","22,64","-0,50",,"0,88","12,50","22,16","22,25","-12,56%","6,57%","56,19%","40,61%","30,20%","40,61%",,"9,09%","752,66%",,"1,43","-2,74","-2,43","0,14","1,19","0,75","4,91","-3,63",27 077 000,"15,32",-693 000,"-0,39","-0,74","1,06","0,22","0,02","1,81","0,22","0,28","0,13","1,17","4,49",81,385,"0,56",648,"0,62","0,14","0,11",729,344,2025-05-01
LBT,2025/Q1,"2,37","0,68","0,32","5,05","2,32","0,70","0,25","6,38","0,79","2,05","1,55","0,67","3,74","6,12","13,52%","11,37%","10,95%","13,83%","-13,93%","15,15%","-19,01%","9,01%","-136,14%",,"0,12","0,14","0,02","36,08","1,49","0,86","0,30","0,43",12 498 000,"0,66",-2 962 000,"-0,16","1,41","1,43","0,22","1,73","3,72","0,22","0,61","0,29","0,32","9,66",38,67,"5,17",71,"2,10","1,18","0,76",109,42,2025-05-01
LBW,2025/Q1,"3,16","3,04","0,65","14,79","3,44","2,79","0,74","12,96","1,46","6,59","9,34","2,71","11,12","12,60","20,56%","13,55%","21,53%","18,86%","22,54%","22,70%","39,34%","15,46%","76,66%","116,91%","0,34","0,52","0,06","6,40","1,97","0,70","0,53","0,98",72 197 000,"0,57",-39 787 000,"-0,32","1,85","1,97","0,20","1,54","2,15","0,80","0,74","0,34","0,83","3,77",97,132,"2,63",139,"1,27","2,05","0,78",236,104,2025-05-01
LCN,2025/Q1,"0,32","1,12","-0,01",,"0,05","6,92","-0,01",,"-0,04",,"0,34","6,60","-211,26","-34,87","-3,43%","-2,63%","-18,93%","-21,23%","-73,71%","-14,15%",,"-2,34%","262,50%","-467,78%","0,20","0,26",,,,,"1,74","1,51",1 413 000,"-41,56",-342 000,"10,06","0,87","0,87","0,19","0,30","0,57","0,19","0,26","-0,09","-0,43","2,05",178,330,"9,37",39,"1,00","0,16","0,13",217,-113,2025-05-01
LEG,2025/Q1,"4,25","10,17","1,93","22,40","75,22","0,57","2,43","17,81","3,05","14,16","40,11","0,53","8,99","16,53","45,42%","11,48%","3,22%","2,56%","3,50%","3,00%",,"14,44%","34,36%","95,18%","0,35","1,36",,,,,"0,66","0,35",3 896 000,"0,54",-5 005 000,"-0,69","0,53","0,53","0,55","0,24","1,53","0,58","0,57","0,18","0,04","21,61",17,29,"110,86",3,"7,51","9,90","4,27",20,-9,2025-05-01
LEN,2025/Q1,"4,43","0,68","0,08","36,31","5,49","0,55","0,13","22,82","2,29","1,31","3,06","0,56","7,66","23,26","1,86%","1,56%","2,40%","1,51%","2,38%","2,25%","33,65%","2,48%","22,02%","158,03%","0,16","0,19","0,01","65,32","2,07","0,84","0,27","0,55",19 349 000,"1,95",1 438 000,"0,14","2,04","2,05","0,08","1,87","3,87","0,08","1,75","0,44","0,69","3,96",92,55,"2,27",161,"1,77","2,47","1,03",253,198,2025-05-01
LES,2025/Q1,"0,00","14 605,69","-0,01",,"0,00",,"-0,01",,"-0,00",,"0,22",,"-26,04","-26,01","-78 150,00%","-420,16%",,,,,,"-299,73%","112,45%",,"0,99","185,00","0,50",,"0,10","0,01","1,09","0,07",165 000,"-0,15",-205 000,"0,18","0,06","0,10","0,56","0,92","0,92","0,56",,"-0,08","28,00",,,,,,,,,,,2025-05-01
LET,2025/Q1,"0,04","25,59","-0,06",,"0,00","242,54","-0,00",,"0,00","207,08","0,98","242,51","2 397,12","-479,42","-156,32%","-129,39%","-50,58%","-1 481,71%","-55,25%","-1 481,71%",,"-4,42%","330,56%",,"0,17","0,21","0,14","4,83","1,30","0,94","0,63","0,72",500 000,"19,23",-7 000,"-0,27","1,14","1,30","0,04","2,92","4,67","0,04","2,24","0,22","2,61","0,40",906,558,"0,93",394,"0,16","0,08","0,06",1 300,742,2025-05-01
LGT,2025/Q1,"1,11","3,23","0,32","11,34","1,98","1,82","0,23","15,72","0,77","4,68","3,01","1,52","9,18","13,16","28,50%","18,47%","11,55%","16,00%","10,04%","20,06%",,"13,32%","146,41%",,"0,26","0,41","0,17","2,30","2,89","0,76","0,37","0,83",-2 152 000,"-1,31",-2 939 000,"-1,79","2,24","2,62","3,38","4,15","4,68","3,38","1,10","0,56","0,57","7,18",51,43,"650,04",1,"1,58","3,98","1,13",52,9,2025-05-01
LKD,2025/Q1,"31,50","0,69","2,55","8,48","6,26","3,45","3,35","6,44","28,45","0,76","24,71","3,95","7,17","7,37","8,09%","5,20%","53,56%","40,71%","9,93%","54,33%","37,15%","6,84%","-80,14%","-4,77%","0,36","0,56","0,39","0,05","14,99","0,89","0,38","4,13",160 244 000,"2,58",55 941 000,"0,90","10,79","14,99","1,51","1,95","8,58","1,63","0,32","0,83","10,61","4,89",75,257,"0,13",2 819,"0,16","2,19","0,15",2 894,2 637,2025-05-01
LMG,2025/Q1,"0,05","19,61","-1,70",,"0,42","2,35","-1,76",,"0,47","2,06","0,76","1,82","-0,43","-0,43","-3 408,14%","-96,83%","-423,64%","-407,65%","-126,70%","-438,80%",,"-100,63%","711,41%",,"0,72","25,30","0,69",,"29,35","0,05","0,73","2,01",1 741 000,"-0,57",-376 000,"0,12","2,77","4,68","0,21","0,18","1,42","0,21","0,04","0,29","0,54","5,31",69,1 003,"0,97",378,"0,20","39,94","0,20",447,-556,2025-05-01
LPP,2024/Q4,"2 855,23","5,76","941,33","17,49","10 881,03","1,51","1 301,26","12,65","-2 462,43",,"19 113,17","1,76","8,64","14,69","32,97%","9,98%","11,96%","8,65%","12,18%","11,15%","53,08%","13,80%","43,45%","113,00%","0,70","2,30","0,71","2,36","0,92","0,52","1,60","0,86",10 404 000 000,"2,54",4 924 000 000,"1,20","0,54","0,92","0,10","0,35","0,90","0,21","0,11","-0,05","-0,11","21,12",17,138,"2,39",153,"2,80","2,22","1,24",170,32,2025-02-01
LRK,2020/Q4,"-0,79",,"-0,11",,"0,00",,"-0,00",,"-0,79",,"0,79",,"-1 050,73","-1 050,73","14,23%","-3,05%",,,,,,"-0,02%",,,"1,21","-5,67",,,,,"1,21","-3 069,40",71 591 000,"-5 965,92",10 214 000,"-851,17","-2 527,40","-2 527,40","0,00","0,82","0,82","0,00","0,82","-0,21",,,,,,,,,,,,2021-02-01
LRQ,2025/Q1,"3,96","0,49","-0,40",,"0,03","61,84","-0,10",,"-0,93",,"2,86","91,27","-31,06","-28,08","-10,22%","-8,18%","-325,06%","-1 289,60%","-302,36%","-492,43%","100,00%","-2,06%","84,74%",,"0,20","0,25","0,13","0,01","0,92","0,91","16,16","13,10",13 012 000,"-10,47",12 449 000,"-10,02","0,81","0,92","0,05","0,13","0,13","0,05","0,09","-0,08","41,37","0,51",722,5 526,,,"0,34","0,01","0,01",,,2025-05-01
LSI,2025/Q1,"18,30","0,91","2,32","7,14","22,39","0,74","2,76","6,02","4,49","3,70","15,82","0,71","3,32","5,74","12,70%","10,30%","12,31%","10,38%","10,16%","11,63%","32,84%","12,22%","88,66%","58,92%","0,19","0,23","0,09","3,03","1,44","0,88","0,49","0,65",5 724 000,"0,37",-2 540 000,"-0,16","1,33","1,44","0,95","2,36","3,30","0,95","1,36","0,27","0,47","4,53",81,61,"7,23",51,"2,55","1,62","0,99",132,71,2025-05-01
LTM,2025/Q1,"0,52","3,11","-0,15",,"0,11","15,19","-0,45",,"0,54","3,04","1,10","10,21","-2,49","-2,46","-28,93%","-27,98%","-415,22%","-141,30%","-84,78%","-135,51%",,"-82,21%","91,98%",,"0,01","0,01",,,,,"0,01","1,62",-683 000,"1,21",-688 000,"1,22","224,67","224,67","137,60","135,20","138,80","137,60","1,00","0,99","2,79","8,76",42,18,"1,33",274,"0,25","1,27","0,21",316,298,2025-05-01
LTX,2025/Q1,"6,41","1,09","0,37","18,88","7,90","0,88","0,57","12,27","2,45","2,85","6,44","0,81","7,00","11,31","5,77%","3,18%","7,20%","4,68%","7,63%","7,97%","27,25%","4,89%","43,44%","62,81%","0,19","0,34","0,16","4,51","1,06","0,64","0,47","0,43",45 142 000,"1,23",-21 722 000,"-0,59","0,91","1,06","0,91","2,28","4,13","0,92","1,36","0,30","0,65","5,14",71,55,"2,78",131,"1,77","1,11","0,68",202,147,2025-05-01
LUD,2025/Q1,"0,73","0,39","-0,01",,"0,00",,"-0,01",,"0,74","0,38","0,28",,"-37,62","-37,62","-1,20%","-1,14%",,,,,,"-0,98%","-385,26%",,"0,03","0,04",,,,,"0,03","159,64",2 192 000,"-3,47",54 000,"-0,09","4 673,69","4 673,69","0,00","28,67","29,28","0,00","29,28","0,97","97,59",,,,,,,,,,,2025-05-01
LUG,2025/Q1,"9,33","0,50","-0,60",,"32,20","0,15","0,17","27,33","-1,97",,"12,99","0,40","6,34","75,51","-6,44%","-2,07%","0,53%","-1,87%","-0,84%","-1,69%","41,06%","0,59%","-20,37%","108,82%","0,68","2,12","0,25","2,96","1,03","0,40","1,11","0,92",132 039 000,"8,95",59 652 000,"4,04","0,83","1,03","0,06","0,50","1,02","0,08","0,39","0,01","0,02","4,93",74,205,"2,02",181,"1,77","2,86","1,09",255,50,2025-05-01
LUK,2025/Q1,"0,09","6,00","-0,00",,"0,55","1,00","0,00","223,45","0,06","9,09","0,59","1,07","102,27","238,63","-3,17%","-1,08%","0,45%","-0,53%","1,91%","0,43%",,"0,92%","-204,82%",,"0,61","1,79","0,13","0,37","2,54","0,38","0,73","1,52",9 327 000,"27,76",2 186 000,"6,51","2,08","2,35","0,03","1,13","1,47","0,03","1,13","0,27","0,14","2,87",127,105,"14,69",25,"2,27","11,28","1,89",152,47,2025-05-01
LWB,2025/Q1,"87,58","0,24","-36,78",,"109,31","0,19","-45,85",,"19,90","1,06","-3,79","-0,03","0,11","0,08","-42,00%","-30,18%","-41,95%","-33,65%","19,80%","-41,33%","26,60%","-37,62%","-104,43%","91,66%","0,28","0,39","0,17","3,89","1,50","0,84","0,63","0,81",80 763 000,"-0,07",-843 258 000,"0,69","1,29","1,50","1,33","2,32","2,80","1,64","0,67","0,28","0,49","7,45",49,75,"10,41",35,"2,25","1,36","0,85",84,9,2025-05-01
M4B,2025/Q1,"2,33","2,36","0,45","12,12","7,83","0,70","0,66","8,34","1,95","2,82","6,94","0,89","6,24","10,52","19,45%","6,66%","8,42%","5,79%","8,12%","6,16%",,"9,69%","43,74%","62,49%","0,49","1,44","0,11","1,14","2,47","0,38","0,63","0,98",22 268 000,"2,70",10 681 000,"1,29","1,55","1,73","0,12","0,26","1,71","0,12","0,45","0,32","0,33","5,66",65,143,"2,44",149,"1,63","5,37","1,25",214,71,2025-05-01
MAB,2025/Q1,"5,96","1,68","-2,42",,"2,34","4,29","-2,15",,"-0,97",,"8,74","3,74","-5,50","-4,06","-40,63%","-27,27%","-92,18%","-103,63%","-78,26%","-91,22%","23,63%","-24,26%","-2 325,01%","-19,48%","0,33","0,49","0,09","12,47","0,94","0,73","1,50","1,29",23 479 000,"-0,91",-20 705 000,"0,81","0,86","0,94","0,62","0,75","0,82","0,62","0,04","-0,05","-0,34","6,65",55,385,"5,66",64,"0,71","0,32","0,22",119,-266,2025-05-01
MAD,2025/Q1,"1,72","1,18","0,00","445,26","3,72","0,54","-0,00",,"0,06","31,51","1,88","0,51","2,42","-397,70","0,26%","0,11%","-0,13%","0,12%","0,10%","-0,72%",,"-0,12%","0,36%","73,45%","0,23","0,56","0,15","0,41","1,09","0,48","0,94","0,52",2 274 000,"0,58",-696 000,"-0,18","0,56","0,64","0,67","-0,57","1,44","0,72","0,56","0,08","0,11","13,69",27,51,"38,07",10,"5,31","1,33","1,07",37,-14,2025-05-01
MAK,2025/Q1,"16,32","1,19","2,88","6,73","26,97","0,72","3,49","5,56","4,27","4,54","16,38","0,61","3,36","4,70","17,66%","12,29%","12,94%","10,69%","12,03%","13,10%","26,90%","14,88%","95,91%","50,97%","0,30","0,44","0,15","4,56","1,56","0,80","0,63","0,85",29 001 000,"0,54",-33 304 000,"-0,62","1,35","1,56","0,97","1,80","2,45","0,97","0,83","0,29","0,37","7,58",48,66,"6,92",53,"2,47","2,24","1,17",101,35,2025-05-01
MAN,2025/Q1,"-0,14",,"-0,05",,"0,00","4 647,50","-0,03",,"-0,14",,"0,66","4 683,25","-24,71","-23,24","33,48%","-953,47%","-20 150,00%","-34 325,00%","-9 775,00%","-34 325,00%","100,00%","-559,72%","272,42%","15,38%","29,48","-1,04",,,,,"29,48",,4 230 000,"-5,58",143 000,"-0,19",,,"0,00","0,03","0,03","0,00","0,03","-28,48","85,44","0,02",17 999,377 798,,,"0,02","0,03","0,01",,,2025-05-01
MBF,2025/Q1,"0,90","2,43","-0,23",,"1,81","1,21","-0,00",,"1,07","2,06","2,19","1,21","1 163,33","-3 490,00","-25,20%","-13,41%","-0,03%","-12,57%","0,64%","-12,57%",,"-0,04%","-401,66%","74,96%","0,36","0,68",,,,,"0,37","23,52",44 000,"7,33",-38 000,"-6,33","64,11","64,11","0,02","2,38","2,73","0,98","1,69","0,63","0,59","2,59",141,77,"57,74",6,"1,43","15,67","1,31",147,70,2025-05-01
MBK,2025/Q1,"436,47","1,86","63,21","12,83","420,06","1,93","85,00","9,54",,,,,,,"14,48%","1,09%","20,24%","15,05%",,,,"1,47%","26,69%","4,98%","0,92","12,27",,,,,,,135 409 004 000,"32,23",,,,,,,,,,,,"0,13",2 810,4 573,,,,,"0,07",,,2025-05-01
